Cmdline: /system/bin/simpleperf record --app com.example.openxcpro.debug --add-meta-info app_type=debuggable --in-app --tracepoint-events /data/local/tmp/tracepoint_events --out-fd 3 --stop-signal-fd 4 --add-meta-info app_type=debuggable -f 400 --duration 95
Arch: arm64
Event: cpu-cycles (type 0, config 0)
Samples: 63564
Event count: 255784272155

Overhead  Sample  Command                      Pid    Tid    Shared Object                                                                                                                     Symbol
0.07%     66      DefaultDispatch              15948  16002  /apex/com.android.art/lib64/libart.so                                                                                             void art::StackVisitor::WalkStack<(art::StackVisitor::CountTransitions)0>(bool)
0.07%     39      DatabaseFileSou              15948  15987  /system/lib64/libz.so                                                                                                             inflate_fast
0.07%     45      com.example.openxcpro.debug  15948  15948  /apex/com.android.art/lib64/libart.so                                                                                             art::jit::JitCodeCache::LookupMethodHeader(unsigned long, art::ArtMethod*)
0.07%     70      DefaultDispatch              15948  16001  [JIT app cache]                                                                                                                   art_jni_trampoline
0.07%     35      com.example.openxcpro.debug  15948  15948  /apex/com.android.art/lib64/libart.so                                                                                             art::jit::Jit::PrepareForOsr(art::ArtMethod*, unsigned int, unsigned int*)
0.07%     39      RenderThread                 15948  15978  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                    __aarch64_cas4_acq
0.07%     43      com.example.openxcpro.debug  15948  15948  /apex/com.android.art/lib64/libart.so                                                                                             art_quick_generic_jni_trampoline
0.07%     40      com.example.openxcpro.debug  15948  15948  /apex/com.android.art/lib64/libart.so                                                                                             art::(anonymous namespace)::ScopedCheck::CheckVarArgs(art::ScopedObjectAccess&, art::(anonymous namespace)::VarArgs const*) (.__uniq.99033978352804627313491551960229047428)
0.07%     66      DefaultDispatch              15948  16002  /apex/com.android.art/lib64/libart.so                                                                                             art::JniDecodeReferenceResult(_jobject*, art::Thread*)
0.07%     41      RenderThread                 15948  15978  /vendor/lib64/egl/libGLESv2_adreno.so                                                                                             !!!0000!ede93666e4f032b9f70c12586cf138!0c393b63cf!
0.07%     42      RenderThread                 15948  15978  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                    __memcpy_aarch64_simd
0.07%     42      com.example.openxcpro.debug  15948  15948  [JIT app cache]                                                                                                                   java.lang.Class.isInstance
0.07%     41      RenderThread 20              15948  16067  /data/app/~~NwAT2SQ4078dynu9RtmJjA==/com.example.openxcpro.debug-ZxHze3utdOz5ZfC_AdjxVg==/base.apk!/lib/arm64-v8a/libmaplibre.so  libmaplibre.so[+6cf4f4]
0.07%     67      DefaultDispatch              15948  16003  [JIT app cache]                                                                                                                   art_jni_trampoline
